t,ax,ay,az,temp,P,hum,roll,pitch,yaw,gx,gy,gz,cx,cy,cz
0.212056,0.010910066,-0.171029165,1.006711721,8.441103935,1020.40332,34.98956299,351.91479,359.637139,203.3702386,-0.003048057,-0.016917141,0.001765608,-25.66639709,11.58491898,-5.603654385
0.314545,0.016001431,-0.157761738,1.00183773,8.548772812,1020.390625,34.65515518,352.0565634,359.2167819,203.4408081,0.032339133,-0.090666875,0.024373725,-28.19180298,12.58517838,-6.037240982
0.436527,0.02545682,-0.152454779,1.017190695,8.548772812,1020.385742,35.71466827,351.9646923,358.8539339,203.6121912,-0.043789245,-0.008156415,0.048437059,-29.17621613,13.06790924,-6.039517879
0.558478,0.047761846,-0.144735545,1.000619292,8.459049225,1020.386963,34.46311951,351.8921454,358.6859612,203.5037824,0.0275914,-0.071335398,-0.041035481,-29.83388329,13.52757931,-6.144697189
0.685272,0.032245304,-0.156073153,1.020846009,8.602607727,1020.38208,35.35708237,351.863059,358.2962219,203.0084708,-0.023657162,0.017024424,-0.019801157,-30.14619446,13.71948528,-6.137830257
0.807416,0.011152512,-0.156314373,1.024745226,8.441103935,1020.368896,35.3405304,351.6368953,358.3599793,202.8946798,0.019621048,-0.028172899,0.004647387,-30.38039207,13.75776291,-6.398638725
0.936322,0.022305025,-0.156555608,1.0052495,8.476993561,1020.351318,37.18805695,351.752013,358.0314187,203.0294804,0.020384055,-0.057214312,0.013582567,-30.19386292,13.9217577,-6.748476982
1.058728,0.033942427,-0.155349478,1.030593991,8.530828476,1020.330811,34.63197708,351.6274474,357.7924549,203.1405256,-0.042094264,0.071210198,-0.001583873,-29.91465569,14.27513504,-6.683706284
1.181401,0.026184158,-0.152937219,1.014022589,8.40521431,1020.310547,34.70481873,351.5557739,357.8048096,203.2138955,0.014509587,-0.045406379,-0.001692252,-30.21377373,13.99195099,-6.338747501
1.304135,0.035397101,-0.155590713,1.030106544,8.49493885,1020.297119,36.38017654,351.5763328,357.5217837,203.147629,-0.024649752,-0.00792745,-0.002328278,-30.17588425,13.83722496,-5.84401989
1.426373,0.032487754,-0.147630244,1.017678142,8.369324684,1020.28418,35.43654633,351.6403394,357.5127145,202.8568132,-0.001817892,-0.018064028,-0.044145197,-30.42394257,13.76628399,-6.25290966
1.548964,0.008485607,-0.164998516,1.017921686,8.512883186,1020.281006,34.21810532,351.5410694,357.547325,202.750959,0.005518096,-0.0374837,0.042987209,-30.22049904,13.78913021,-6.948226452
