# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,2.7042,0,2.7079,0,0,0,0,0,0.14172,32.9,-106,9.7954,87,0,0,0,1254,117.96,0.18691,0.0087409,NaN,67.181,NaN,0.005918,130844,15.662,2.5989e-6,0.6175,2.1599e-4,0.46796,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0013725
2e-3,5.4083e-6,0.0054083,27.65,0.0054158,27.688,2.8344e-7,0,2.8344e-7,0,2.8344e-4,1.4491,32.9,-106,9.7954,86.846,0,0,0,1254,117.96,0.18691,0.0087409,NaN,67.181,NaN,0.0059135,130745,46.986,3.0111e-6,0.61759,2.5063e-4,0.46805,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6355e-7,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0017246
4e-3,7.1527e-5,0.060711,52.599,0.060795,52.671,3.7486e-6,0,3.7486e-6,0,0.0031817,2.7566,32.9,-106,9.7954,85.272,0,0,0,1253.9,117.89,0.1869,0.0087409,NaN,67.18,NaN,0.0059193,130874,78.309,9.989e-6,0.61747,8.2979e-4,0.46794,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4487e-6,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0020113
6e-3,2.9815e-4,0.16591,77.551,0.16614,77.657,1.5625e-5,0,1.5625e-5,0,0.0086952,4.0643,32.9,-106,9.7954,82.296,0,0,0,1253.8,117.82,0.1869,0.0087409,NaN,67.179,NaN,0.0059475,131497,109.63,4.2191e-5,0.61692,0.0034717,0.46739,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0356e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0022433
8e-3,7.8509e-4,0.32102,95.196,0.32147,95.327,4.1145e-5,0,4.1145e-5,0,0.016824,4.989,32.9,-106,9.7954,77.982,0,0,0,1253.8,117.75,0.1869,0.0087408,NaN,67.178,NaN,0.0060205,133109,131.78,1.5588e-4,0.61551,0.012517,0.46597,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9387e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0024701
0.01,0.0016175,0.51143,105.54,0.51214,105.68,8.4772e-5,0,8.4772e-5,0,0.026803,5.5311,32.9,-106,9.7954,72.866,0,0,0,1253.6,117.62,0.1869,0.0087408,NaN,67.177,NaN,0.0061564,136115,144.75,4.422e-4,0.61294,0.03396,0.46341,0.029531,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2748e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0026896
0.012,0.0028515,0.72254,115.89,0.72353,116.05,1.4944e-4,0,1.4944e-4,0,0.037867,6.0735,32.9,-106,9.7954,67.498,0,0,0,1253.4,117.43,0.18689,0.0087408,NaN,67.174,NaN,0.0063622,140664,157.72,9.9193e-4,0.6092,0.071329,0.45966,0.029531,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8649e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0029101
0.014,0.0045284,0.95435,126.24,0.95566,126.42,2.3732e-4,0,2.3732e-4,0,0.050015,6.6161,32.9,-106,9.7954,62.042,0,0,0,1253.2,117.24,0.18688,0.0087408,NaN,67.172,NaN,0.0066484,146992,170.69,0.0019106,0.60426,0.12581,0.45472,0.029531,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1709e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0031269
0.016,0.0066896,1.2069,136.6,1.2085,136.79,3.5059e-4,0,3.5059e-4,0,0.063249,7.1589,32.9,-106,9.7954,56.659,0,0,0,1253,117.05,0.18688,0.0087408,NaN,67.17,NaN,0.007023,155274,183.66,0.0033017,0.59821,0.19485,0.44867,0.029532,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4807e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0033496
0.018,0.0093766,1.4801,146.96,1.4821,147.16,4.9141e-4,0,4.9141e-4,0,0.077569,7.7018,32.9,-106,9.7954,51.492,0,0,0,1252.9,116.86,0.18687,0.0087408,NaN,67.167,NaN,0.0074908,165618,196.63,0.0052581,0.59126,0.27275,0.44172,0.029533,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8159e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0041624
